customer_id,age,gender,category,purchase_amount,location,season,review_rating,shipping_type,discount_applied,previous_purchases,payment_method,cadence,purchases_per_year,forward_annual_value,satisfaction_flag,value_tier,segment
1,55,Male,Clothing,53,Kentucky,Winter,3.1,Express,Yes,14,Venmo,Bi-Weekly,26,1378,Medium,Tier 2,3. Developing
2,19,Male,Clothing,64,Maine,Winter,3.1,Express,Yes,2,Cash,Bi-Weekly,26,1664,Medium,Tier 1,3. Developing
3,50,Male,Clothing,73,Massachusetts,Spring,3.1,Free Shipping,Yes,23,Credit Card,Weekly,52,3796,Medium,Tier 1,3. Developing
4,21,Male,Footwear,90,Rhode Island,Spring,3.5,Next Day Air,Yes,49,PayPal,Weekly,52,4680,Medium,Tier 1,1. Core Loyal
5,45,Male,Clothing,49,Oregon,Spring,2.7,Free Shipping,Yes,31,PayPal,Annually,1,49,Low,Tier 4,3. Developing
6,46,Male,Footwear,20,Wyoming,Summer,2.9,Standard,Yes,14,Venmo,Weekly,52,1040,Low,Tier 2,3. Developing
7,63,Male,Clothing,85,Montana,Fall,3.2,Free Shipping,Yes,49,Cash,Quarterly,4,340,Medium,Tier 3,3. Developing
8,27,Male,Clothing,34,Louisiana,Winter,3.2,Free Shipping,Yes,19,Credit Card,Weekly,52,1768,Medium,Tier 1,3. Developing
9,26,Male,Outerwear,97,West Virginia,Summer,2.6,Express,Yes,8,Venmo,Annually,1,97,Low,Tier 4,4. Low Engagement
10,57,Male,Accessories,31,Missouri,Spring,4.8,2-Day Shipping,Yes,4,Cash,Quarterly,4,124,High,Tier 4,4. Low Engagement
11,53,Male,Footwear,34,Arkansas,Fall,4.1,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,26,884,High,Tier 2,2. Established
12,30,Male,Clothing,68,Hawaii,Winter,4.9,Store Pickup,Yes,10,Bank Transfer,Bi-Weekly,26,1768,High,Tier 1,3. Developing
13,61,Male,Outerwear,72,Delaware,Winter,4.5,Express,Yes,37,Venmo,Bi-Weekly,26,1872,High,Tier 1,1. Core Loyal
14,65,Male,Clothing,51,New Hampshire,Spring,4.7,Express,Yes,31,PayPal,Weekly,52,2652,High,Tier 1,1. Core Loyal
15,64,Male,Outerwear,53,New York,Winter,4.7,Free Shipping,Yes,34,Debit Card,Weekly,52,2756,High,Tier 1,1. Core Loyal
16,64,Male,Clothing,81,Rhode Island,Winter,2.8,Store Pickup,Yes,8,PayPal,Monthly,12,972,Low,Tier 2,3. Developing
17,25,Male,Accessories,36,Alabama,Spring,4.1,Next Day Air,Yes,44,Debit Card,Bi-Weekly,26,936,High,Tier 2,2. Established
18,53,Male,Clothing,38,Mississippi,Winter,4.7,2-Day Shipping,Yes,36,Venmo,Quarterly,4,152,High,Tier 4,3. Developing
19,52,Male,Clothing,48,Montana,Summer,4.6,Free Shipping,Yes,17,Cash,Weekly,52,2496,High,Tier 1,3. Developing
20,66,Male,Clothing,90,Rhode Island,Summer,3.3,Standard,Yes,46,Debit Card,Bi-Weekly,26,2340,Medium,Tier 1,1. Core Loyal
21,21,Male,Clothing,51,Louisiana,Winter,2.8,Express,Yes,50,Cash,Quarterly,4,204,Low,Tier 3,3. Developing
22,31,Male,Clothing,62,North Carolina,Winter,4.1,Store Pickup,Yes,22,Debit Card,Quarterly,4,248,High,Tier 3,4. Low Engagement
23,56,Male,Clothing,37,California,Summer,3.2,Store Pickup,Yes,32,Debit Card,Annually,1,37,Medium,Tier 4,3. Developing
24,31,Male,Clothing,88,Oklahoma,Winter,4.4,Express,Yes,40,Credit Card,Weekly,52,4576,High,Tier 1,1. Core Loyal
25,18,Male,Outerwear,22,Florida,Fall,2.9,Store Pickup,Yes,16,Debit Card,Weekly,52,1144,Low,Tier 2,3. Developing
26,18,Male,Clothing,25,Texas,Summer,3.6,Express,Yes,14,PayPal,Annually,1,25,Medium,Tier 4,4. Low Engagement
27,38,Male,Accessories,20,Nevada,Spring,3.6,Next Day Air,Yes,13,Credit Card,Annually,1,20,Medium,Tier 4,4. Low Engagement
28,56,Male,Clothing,56,Kentucky,Summer,5.0,Next Day Air,Yes,7,Bank Transfer,Quarterly,4,224,High,Tier 3,4. Low Engagement
29,54,Male,Accessories,94,North Carolina,Fall,4.4,Free Shipping,Yes,41,PayPal,Quarterly,4,376,High,Tier 3,3. Developing
30,31,Male,Clothing,48,Wyoming,Fall,4.1,Store Pickup,Yes,14,Credit Card,Weekly,52,2496,High,Tier 1,3. Developing
31,57,Male,Accessories,31,North Carolina,Winter,4.7,Standard,Yes,16,Credit Card,Monthly,12,372,High,Tier 3,3. Developing
32,33,Male,Clothing,79,West Virginia,Winter,4.7,Store Pickup,Yes,45,Venmo,Monthly,12,948,High,Tier 2,2. Established
33,36,Male,Outerwear,67,Kansas,Summer,4.9,Free Shipping,Yes,37,Venmo,Annually,1,67,High,Tier 4,3. Developing
34,54,Male,Clothing,38,Colorado,Summer,3.3,Store Pickup,Yes,45,Cash,Quarterly,4,152,Medium,Tier 4,3. Developing
35,36,Male,Clothing,91,North Dakota,Spring,4.6,2-Day Shipping,Yes,38,PayPal,Quarterly,4,364,High,Tier 3,3. Developing
36,54,Male,Clothing,33,Massachusetts,Summer,4.0,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,26,858,High,Tier 2,2. Established
37,35,Male,Clothing,69,Illinois,Winter,4.6,Free Shipping,Yes,44,PayPal,Bi-Weekly,26,1794,High,Tier 1,1. Core Loyal
38,35,Male,Clothing,45,Indiana,Summer,2.8,Store Pickup,Yes,10,PayPal,Weekly,52,2340,Low,Tier 1,3. Developing
39,29,Male,Clothing,37,Florida,Winter,,2-Day Shipping,Yes,44,Venmo,Quarterly,4,148,Unknown,Tier 4,3. Developing
40,70,Male,Clothing,60,Arizona,Summer,4.2,Express,Yes,18,Credit Card,Monthly,12,720,High,Tier 2,3. Developing
41,69,Male,Accessories,76,Louisiana,Winter,4.6,Next Day Air,Yes,31,Debit Card,Quarterly,4,304,High,Tier 3,3. Developing
42,67,Male,Accessories,39,Alaska,Spring,4.5,Standard,Yes,40,Venmo,Annually,1,39,High,Tier 4,3. Developing
43,20,Male,Outerwear,100,Tennessee,Spring,4.1,Free Shipping,Yes,15,PayPal,Annually,1,100,High,Tier 4,4. Low Engagement
44,25,Male,Accessories,69,Ohio,Fall,3.7,Store Pickup,Yes,19,PayPal,Bi-Weekly,26,1794,Medium,Tier 1,3. Developing
45,39,Male,Accessories,53,Kentucky,Summer,4.6,Free Shipping,Yes,45,PayPal,Weekly,52,2756,High,Tier 1,1. Core Loyal
46,50,Male,Clothing,21,Tennessee,Fall,2.9,2-Day Shipping,Yes,25,PayPal,Annually,1,21,Low,Tier 4,3. Developing
47,57,Male,Clothing,43,California,Summer,2.9,Store Pickup,Yes,45,Cash,Quarterly,4,172,Low,Tier 4,3. Developing
48,55,Male,Accessories,54,Montana,Winter,4.5,Free Shipping,Yes,36,Cash,Weekly,52,2808,High,Tier 1,1. Core Loyal
49,42,Male,Clothing,55,Nevada,Summer,2.7,Store Pickup,Yes,38,Cash,Monthly,12,660,Low,Tier 2,2. Established
50,68,Male,Clothing,30,New Jersey,Spring,4.6,Next Day Air,Yes,34,Debit Card,Bi-Weekly,26,780,High,Tier 2,2. Established
51,49,Male,Clothing,28,Maryland,Spring,,Store Pickup,Yes,39,Debit Card,Bi-Weekly,26,728,Unknown,Tier 2,2. Established
52,59,Male,Clothing,59,Vermont,Winter,4.7,2-Day Shipping,Yes,7,Credit Card,Quarterly,4,236,High,Tier 3,4. Low Engagement
53,42,Male,Clothing,20,Alaska,Summer,2.6,Free Shipping,Yes,26,Credit Card,Weekly,52,1040,Low,Tier 2,2. Established
54,29,Male,Clothing,24,Mississippi,Winter,3.9,Next Day Air,Yes,35,Credit Card,Weekly,52,1248,Medium,Tier 2,2. Established
55,47,Male,Outerwear,94,New Mexico,Summer,4.2,Next Day Air,Yes,35,Debit Card,Bi-Weekly,26,2444,High,Tier 1,1. Core Loyal
56,40,Male,Outerwear,28,South Carolina,Winter,3.0,2-Day Shipping,Yes,49,Credit Card,Annually,1,28,Medium,Tier 4,3. Developing
57,41,Male,Accessories,73,Mississippi,Summer,4.7,Store Pickup,Yes,46,Credit Card,Weekly,52,3796,High,Tier 1,1. Core Loyal
58,21,Male,Outerwear,64,West Virginia,Summer,4.4,Store Pickup,Yes,17,Debit Card,Bi-Weekly,26,1664,High,Tier 1,3. Developing
59,69,Male,Clothing,54,Missouri,Summer,4.2,Free Shipping,Yes,29,Venmo,Monthly,12,648,High,Tier 2,2. Established
60,63,Male,Accessories,79,Louisiana,Spring,4.6,Standard,Yes,4,Debit Card,Weekly,52,4108,High,Tier 1,3. Developing
61,50,Male,Clothing,37,Idaho,Summer,4.0,Express,Yes,17,Cash,Weekly,52,1924,High,Tier 1,3. Developing
62,55,Male,Accessories,68,Texas,Winter,4.7,Store Pickup,Yes,21,Credit Card,Quarterly,4,272,High,Tier 3,4. Low Engagement
63,30,Male,Footwear,21,Mississippi,Spring,3.8,Free Shipping,Yes,31,Credit Card,Bi-Weekly,26,546,Medium,Tier 3,2. Established
64,33,Male,Accessories,79,Arizona,Winter,2.7,2-Day Shipping,Yes,43,Credit Card,Weekly,52,4108,Low,Tier 1,1. Core Loyal
65,65,Male,Footwear,83,Alabama,Fall,4.8,Standard,Yes,18,Debit Card,Bi-Weekly,26,2158,High,Tier 1,3. Developing
66,65,Male,Accessories,36,New Jersey,Spring,4.8,2-Day Shipping,Yes,44,Venmo,Quarterly,4,144,High,Tier 4,3. Developing
67,31,Male,Clothing,94,Pennsylvania,Winter,4.7,2-Day Shipping,Yes,3,Venmo,Quarterly,4,376,High,Tier 3,4. Low Engagement
68,45,Male,Outerwear,33,Connecticut,Winter,4.4,Store Pickup,Yes,49,Debit Card,Monthly,12,396,High,Tier 3,2. Established
69,57,Male,Accessories,46,Utah,Summer,3.9,Next Day Air,Yes,21,Cash,Quarterly,4,184,Medium,Tier 4,4. Low Engagement
70,48,Male,Accessories,70,Tennessee,Summer,4.4,Express,Yes,5,Cash,Weekly,52,3640,High,Tier 1,3. Developing
71,22,Male,Accessories,29,Alabama,Fall,4.2,Express,Yes,32,Debit Card,Quarterly,4,116,High,Tier 4,3. Developing
72,36,Male,Clothing,48,Virginia,Summer,2.9,Express,Yes,34,Bank Transfer,Annually,1,48,Low,Tier 4,3. Developing
73,18,Male,Clothing,26,Georgia,Winter,2.9,Store Pickup,Yes,21,Bank Transfer,Quarterly,4,104,Low,Tier 4,4. Low Engagement
74,48,Male,Clothing,85,Hawaii,Spring,2.7,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,26,2210,Low,Tier 1,1. Core Loyal
75,49,Male,Accessories,58,Indiana,Spring,4.5,Express,Yes,3,Cash,Monthly,12,696,High,Tier 2,3. Developing
76,64,Male,Accessories,85,Utah,Summer,2.7,Free Shipping,Yes,21,Credit Card,Annually,1,85,Low,Tier 4,4. Low Engagement
77,50,Male,Accessories,43,Delaware,Summer,4.2,Free Shipping,Yes,32,Venmo,Monthly,12,516,High,Tier 3,2. Established
78,22,Male,Clothing,53,Delaware,Summer,3.3,Next Day Air,Yes,36,Debit Card,Bi-Weekly,26,1378,Medium,Tier 2,2. Established
79,50,Male,Clothing,91,Nebraska,Spring,4.7,Free Shipping,Yes,50,Venmo,Bi-Weekly,26,2366,High,Tier 1,1. Core Loyal
80,38,Male,Outerwear,96,Iowa,Winter,2.6,2-Day Shipping,Yes,43,Bank Transfer,Quarterly,4,384,Low,Tier 3,3. Developing
81,19,Male,Footwear,72,New York,Summer,,Store Pickup,Yes,24,Credit Card,Quarterly,4,288,Unknown,Tier 3,4. Low Engagement
82,67,Male,Footwear,96,Virginia,Summer,2.6,Express,Yes,36,Credit Card,Quarterly,4,384,Low,Tier 3,3. Developing
83,19,Male,Clothing,28,Georgia,Spring,4.0,2-Day Shipping,Yes,21,Credit Card,Quarterly,4,112,High,Tier 4,4. Low Engagement
84,36,Male,Clothing,40,Texas,Summer,4.1,Standard,Yes,34,Bank Transfer,Weekly,52,2080,High,Tier 1,1. Core Loyal
85,52,Male,Outerwear,32,Arizona,Spring,4.4,Standard,Yes,42,Bank Transfer,Quarterly,4,128,High,Tier 4,3. Developing
86,53,Male,Accessories,95,New Mexico,Winter,4.5,Next Day Air,Yes,2,Debit Card,Bi-Weekly,26,2470,High,Tier 1,3. Developing
87,24,Male,Clothing,41,Nevada,Spring,3.7,2-Day Shipping,Yes,47,Cash,Bi-Weekly,26,1066,Medium,Tier 2,2. Established
88,52,Male,Footwear,53,Ohio,Fall,3.7,2-Day Shipping,Yes,44,Debit Card,Bi-Weekly,26,1378,Medium,Tier 2,2. Established
89,33,Male,Clothing,47,Wyoming,Fall,3.5,Free Shipping,Yes,35,Credit Card,Monthly,12,564,Medium,Tier 3,2. Established
90,47,Male,Outerwear,83,California,Fall,3.6,Next Day Air,Yes,15,Cash,Quarterly,4,332,Medium,Tier 3,4. Low Engagement
91,25,Male,Accessories,48,South Carolina,Summer,2.9,Express,Yes,29,Credit Card,Monthly,12,576,Low,Tier 2,2. Established
92,44,Male,Accessories,99,South Carolina,Winter,4.6,Standard,Yes,18,Credit Card,Quarterly,4,396,High,Tier 3,4. Low Engagement
93,61,Male,Outerwear,87,Texas,Winter,4.4,2-Day Shipping,Yes,13,Venmo,Quarterly,4,348,High,Tier 3,4. Low Engagement
94,37,Male,Clothing,62,Florida,Fall,4.5,Standard,Yes,46,Credit Card,Weekly,52,3224,High,Tier 1,1. Core Loyal
95,58,Male,Clothing,76,Nevada,Spring,4.6,Free Shipping,Yes,28,Credit Card,Weekly,52,3952,High,Tier 1,1. Core Loyal
96,37,Male,Footwear,100,Missouri,Fall,3.8,Free Shipping,Yes,48,PayPal,Monthly,12,1200,Medium,Tier 2,2. Established
97,32,Male,Accessories,73,Delaware,Spring,,Express,Yes,43,Venmo,Quarterly,4,292,Unknown,Tier 3,3. Developing
